id,weight,classes,circuit,station,pool,visits,daypart,doctor,wom,advert,speaker,location,article,other,fitness,social,enjoy,medical,recom,event,age,gender,educat,income,status,revenue
1,1,0,0,0,0,8,1,0,1,0,0,0,0,0,5,4,5,2,10,1,69,2,2,#NULL!,1,375
2,0,1,0,0,0,10,1,0,0,0,0,0,1,0,5,5,5,#NULL!,10,1,77,2,3,#NULL!,2,325
3,1,1,0,0,0,14,1,0,0,0,0,0,0,1,5,3,3,4,10,5,75,2,5,5,2,547.5
4,1,1,1,1,1,12,2,0,0,0,0,0,0,0,5,3,3,#NULL!,10,3,74,2,5,#NULL!,2,557.5
5,0,0,0,0,1,14,1,0,1,0,0,0,0,0,5,1,4,4,10,5,87,2,5,5,2,400
6,0,0,1,0,1,12,1,0,1,0,0,0,0,0,5,3,3,5,8,5,74,2,2,1,2,587.5
7,0,1,1,0,0,16,1,0,0,0,0,0,0,1,5,4,3,4,10,3,66,2,6,5,2,362.5
8,0,0,0,0,1,20,1,0,0,0,0,0,1,0,3,5,5,#NULL!,10,1,72,2,2,3,2,280
9,1,0,0,0,0,12,2,0,1,0,0,0,0,0,5,3,4,4,10,3,80,1,#NULL!,4,2,360
10,0,0,1,1,1,20,1,1,0,0,1,0,0,0,5,4,4,5,10,3,75,2,3,3,2,516.5
11,0,0,1,0,1,#NULL!,1,1,0,0,0,0,0,1,5,3,3,4,10,1,88,2,2,2,2,575
12,0,1,0,0,1,20,1,0,0,0,0,0,1,0,5,1,3,3,10,3,76,#NULL!,3,4,2,425
13,0,0,0,0,1,8,1,1,0,0,0,0,0,0,5,4,4,5,10,3,75,2,3,4,2,554
14,0,0,0,0,1,8,1,1,0,0,0,0,0,0,4,3,3,3,8,1,78,1,3,4,2,385
15,0,1,0,1,0,12,1,0,1,0,0,0,0,0,5,5,5,5,10,4,71,2,3,3,2,557.5
16,1,0,0,0,0,6,2,0,0,0,0,0,0,1,1,1,3,1,1,1,78,1,3,3,#NULL!,280
17,1,0,0,0,1,18,2,0,0,0,1,0,0,0,5,4,4,5,10,4,70,2,5,3,2,542.5
18,1,0,1,0,0,20,1,0,0,0,1,1,1,0,5,4,4,1,7,5,63,2,5,7,1,240
19,0,0,1,0,0,10,1,0,1,0,0,0,0,1,5,#NULL!,5,4,9,3,66,2,6,3,1,565
20,0,0,0,0,1,12,1,1,0,0,0,0,0,0,4,#NULL!,#NULL!,5,10,1,85,2,3,#NULL!,2,285
21,0,1,0,0,0,20,1,0,0,0,0,0,0,1,5,4,4,5,10,1,79,#NULL!,6,#NULL!,2,547.5
22,1,1,1,1,0,15,2,1,0,0,0,0,0,0,5,3,2,4,7,3,90,1,6,5,2,390
23,0,0,1,0,1,18,1,0,1,1,0,0,1,0,5,4,5,5,10,4,87,2,3,4,#NULL!,525
24,1,0,1,0,0,5,1,0,0,0,0,0,0,1,5,2,3,4,10,2,80,1,6,5,2,542.5
25,0,0,0,0,1,6,1,0,1,0,0,0,0,0,5,5,5,5,10,3,79,2,6,6,2,325
26,0,0,0,0,1,9,2,0,1,0,0,0,0,0,5,4,5,5,10,3,78,2,1,2,2,575
27,0,0,0,0,1,8,2,0,0,0,1,1,0,0,5,4,4,5,10,#NULL!,70,2,2,#NULL!,2,320
28,1,1,1,1,1,20,1,0,0,0,0,1,1,0,5,4,3,4,10,3,86,2,6,4,2,547.5
29,1,1,0,0,0,8,1,1,0,0,0,0,0,0,5,4,3,4,9,4,65,#NULL!,6,7,2,390
30,1,0,0,1,0,16,1,0,1,0,0,0,0,1,5,2,3,3,10,3,55,2,5,7,2,400
31,0,0,0,0,0,#NULL!,#NULL!,1,0,0,0,0,0,0,5,3,#NULL!,5,8,5,77,1,3,#NULL!,2,290
32,1,1,1,0,0,#NULL!,#NULL!,0,0,0,0,0,0,0,5,1,4,4,10,2,67,2,5,6,1,335
33,1,0,0,0,1,19,1,0,1,0,0,0,0,0,5,4,5,3,10,3,70,2,5,4,2,529
34,0,0,0,0,1,10,2,0,0,0,0,0,1,0,5,4,5,#NULL!,10,1,71,2,3,#NULL!,2,567.5
35,1,1,1,1,0,12,1,0,1,0,0,0,0,0,5,5,5,4,10,1,74,2,1,#NULL!,2,397.5
36,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,4,5,5,10,4,66,2,2,6,2,310
37,1,1,1,1,1,22,1,0,1,0,1,0,0,1,5,5,4,5,10,3,75,2,6,9,2,562.5
38,1,0,0,0,1,20,1,0,0,0,0,0,0,1,5,5,4,5,10,1,77,1,6,6,2,340
39,0,1,0,0,1,10,1,0,1,0,0,0,0,0,5,4,#NULL!,#NULL!,10,3,40,2,6,6,2,547.5
40,0,1,1,1,1,20,1,0,0,1,0,0,0,0,5,5,5,4,10,2,77,2,5,4,2,400
41,0,0,0,0,1,25,2,0,0,0,1,0,0,0,5,5,5,5,10,1,75,1,2,#NULL!,2,557.5
42,1,1,1,1,1,20,1,0,0,0,0,1,0,0,5,4,4,4,9,2,69,2,3,3,1,280
43,0,0,0,0,1,12,1,0,1,0,0,0,0,0,4,4,4,5,10,3,71,2,2,5,2,562.5
44,1,1,0,0,1,7,1,1,0,0,0,0,0,1,5,4,5,5,10,3,67,2,6,7,2,345
45,1,0,0,0,0,12,1,1,0,0,0,0,0,0,4,3,3,4,8,3,80,1,6,6,2,542.5
46,1,1,0,0,1,25,#NULL!,1,0,0,0,0,0,0,5,4,4,5,9,1,77,2,6,#NULL!,2,330
47,0,0,1,0,0,10,1,0,1,0,0,0,0,0,5,3,4,4,9,3,85,2,5,4,2,561.5
48,0,1,0,0,1,#NULL!,1,0,1,0,0,0,1,0,4,3,4,3,10,1,79,2,2,2,2,275
49,1,0,1,0,0,6,1,0,1,0,0,0,0,0,5,5,5,5,10,3,74,2,5,#NULL!,2,642.5
50,0,0,0,0,1,8,2,0,0,0,0,0,1,0,5,4,5,5,10,3,58,2,4,5,2,400
51,0,1,0,0,0,12,1,0,1,0,0,0,0,0,5,2,2,5,10,2,70,2,3,4,2,566.5
52,0,0,0,0,1,12,1,0,0,0,0,0,1,0,4,2,2,5,10,#NULL!,61,2,5,5,2,577.5
53,0,1,0,0,0,#NULL!,#NULL!,1,0,0,0,0,0,0,5,#NULL!,#NULL!,5,9,4,82,2,4,5,2,200
54,1,0,1,0,0,20,1,0,0,0,0,0,0,1,5,2,4,5,10,4,77,2,2,#NULL!,2,230
55,1,0,1,0,0,13,2,0,1,0,0,0,0,0,#NULL!,#NULL!,#NULL!,#NULL!,10,1,76,1,6,4,#NULL!,285
56,1,0,1,0,0,9,2,0,1,0,0,0,0,0,5,4,3,1,10,3,71,2,3,4,2,627.5
57,1,0,1,0,0,22,1,0,0,0,1,0,0,0,5,3,3,5,10,3,64,2,3,5,2,250
58,1,0,0,0,0,12,1,0,1,0,0,0,0,0,5,2,1,4,10,1,82,1,6,5,2,461.5
59,0,0,0,0,0,#NULL!,#NULL!,0,0,0,0,0,0,1,5,3,3,5,8,2,63,2,6,#NULL!,2,580
